non inappropriate,0,0.98,0004680.jpg
non inappropriate,0,0.98,0001815.jpg
inappropriate,1,0.98,0004129.jpg
inappropriate,1,0.74,0003680.jpg
non inappropriate,0,0.72,0002193.jpg
inappropriate,1,0.98,0000745.jpg
non inappropriate,0,0.82,0000027.jpg
inappropriate,1,0.84,0000066.jpg
non inappropriate,0,0.70,0000860.jpg
non inappropriate,0,0.76,0000390.jpg
inappropriate,1,0.64,0001592.jpg
inappropriate,1,0.77,0000642.jpg
non inappropriate,0,0.99,0004144.jpg
non inappropriate,0,0.88,0001910.jpg
inappropriate,1,0.73,0000342.jpg
non inappropriate,0,0.91,0000453.jpg
inappropriate,1,0.89,0000457.jpg
inappropriate,1,0.78,0000981.jpg
non inappropriate,0,0.99,0004530.jpg
non inappropriate,0,0.55,0001788.jpg
non inappropriate,0,0.96,0004607.jpg
non inappropriate,0,0.80,0003371.jpg
non inappropriate,0,0.94,0003225.jpg
non inappropriate,0,0.99,0001884.jpg
non inappropriate,0,0.85,0003013.jpg
non inappropriate,0,0.84,0004021.jpg
non inappropriate,0,0.85,0002940.jpg
non inappropriate,0,0.98,0003480.jpg
non inappropriate,0,0.99,0004587.jpg
non inappropriate,0,0.93,0002764.jpg
inappropriate,1,0.51,0002329.jpg
inappropriate,1,0.53,0002126.jpg
inappropriate,1,0.70,0000097.jpg
inappropriate,1,0.59,0003646.jpg
non inappropriate,0,0.83,0003419.jpg
non inappropriate,0,0.53,0004141.jpg
non inappropriate,0,0.85,0003375.jpg
non inappropriate,0,0.99,0002951.jpg
inappropriate,1,0.56,0003317.jpg
inappropriate,1,0.72,0001957.jpg
inappropriate,1,0.98,0000320.jpg
non inappropriate,0,0.76,0004593.jpg
inappropriate,1,0.89,0002754.jpg
inappropriate,1,0.99,0000333.jpg
inappropriate,1,0.80,0000284.jpg
non inappropriate,0,0.99,0003894.jpg
non inappropriate,0,0.91,0001340.jpg
inappropriate,1,0.66,0002886.jpg
non inappropriate,0,0.57,0003148.jpg
inappropriate,1,0.72,0004578.jpg
non inappropriate,0,0.90,0001436.jpg
non inappropriate,0,0.91,0001798.jpg
inappropriate,1,0.97,0004178.jpg
inappropriate,1,0.58,0003518.jpg
inappropriate,1,0.93,0004341.jpg
non inappropriate,0,0.99,0002991.jpg
non inappropriate,0,0.60,0003912.jpg
non inappropriate,0,0.64,0002010.jpg
non inappropriate,0,0.88,0002686.jpg
non inappropriate,0,1.00,0002756.jpg
inappropriate,1,0.90,0003003.jpg
non inappropriate,0,0.99,0003429.jpg
non inappropriate,0,0.92,0002528.jpg
non inappropriate,0,0.75,0001679.jpg
inappropriate,1,0.88,0001825.jpg
non inappropriate,0,0.81,0000018.jpg
inappropriate,1,0.98,0001445.jpg
inappropriate,1,0.58,0001394.jpg
non inappropriate,0,1.00,0002513.jpg
non inappropriate,0,0.96,0002640.jpg
non inappropriate,0,0.52,0003649.jpg
inappropriate,1,0.68,0001440.jpg
non inappropriate,0,0.94,0000410.jpg
non inappropriate,0,0.99,0002089.jpg
non inappropriate,0,0.79,0002553.jpg
inappropriate,1,0.60,0002173.jpg
inappropriate,1,0.88,0004678.jpg
non inappropriate,0,0.76,0000338.jpg
non inappropriate,0,0.84,0000478.jpg
non inappropriate,0,0.99,0002817.jpg
non inappropriate,0,0.99,0001978.jpg
non inappropriate,0,1.00,0002069.jpg
non inappropriate,0,0.91,0002744.jpg
non inappropriate,0,1.00,0002318.jpg
inappropriate,1,0.59,0000466.jpg
non inappropriate,0,0.99,0003226.jpg
non inappropriate,0,0.74,0003553.jpg
non inappropriate,0,0.63,0002474.jpg
non inappropriate,0,0.87,0000177.jpg
non inappropriate,0,0.90,0001914.jpg
inappropriate,1,0.65,0004380.jpg
inappropriate,1,0.98,0004671.jpg
non inappropriate,0,0.55,0001135.jpg
non inappropriate,0,0.99,0001938.jpg
non inappropriate,0,0.98,0002079.jpg
non inappropriate,0,0.94,0000493.jpg
non inappropriate,0,0.95,0004139.jpg
inappropriate,1,0.61,0001644.jpg
non inappropriate,0,0.88,0001113.jpg
inappropriate,1,0.62,0002607.jpg
non inappropriate,0,1.00,0000075.jpg
non inappropriate,0,1.00,0001730.jpg
non inappropriate,0,0.98,0000520.jpg
non inappropriate,0,0.88,0002593.jpg
inappropriate,1,0.96,0004619.jpg
non inappropriate,0,0.84,0003926.jpg
inappropriate,1,0.68,0000022.jpg
non inappropriate,0,0.98,0002202.jpg
inappropriate,1,0.52,0001601.jpg
non inappropriate,0,0.99,0002039.jpg
non inappropriate,0,0.97,0001846.jpg
inappropriate,1,0.65,0004634.jpg
non inappropriate,0,0.62,0002244.jpg
non inappropriate,0,1.00,0002675.jpg
inappropriate,1,0.97,0000848.jpg
non inappropriate,0,0.92,0003438.jpg
inappropriate,1,0.92,0000708.jpg
non inappropriate,0,0.95,0002741.jpg
non inappropriate,0,0.95,0003608.jpg
inappropriate,1,0.88,0004029.jpg
inappropriate,1,0.80,0000906.jpg
non inappropriate,0,0.83,0000166.jpg
non inappropriate,0,0.84,0001612.jpg
non inappropriate,0,0.74,0002177.jpg
non inappropriate,0,0.58,0004018.jpg
non inappropriate,0,0.99,0002496.jpg
non inappropriate,0,0.59,0004459.jpg
